Date,Open,High,Low,Close
2021-01-22,1169.06,1273.92,1043.42,1243.67
2021-01-23,1246.13,1272.56,1198.12,1248.5
2021-01-24,1247.98,1365.55,1224.01,1353.24
2021-01-25,1352.0,1473.54,1313.54,1345.18
2021-01-26,1346.57,1375.27,1246.0,1335.01
2021-01-27,1335.0,1375.47,1210.05,1275.28
2021-01-28,1277.96,1358.04,1222.59,1350.38
2021-01-29,1354.54,1438.01,1293.16,1375.79
2021-01-30,1374.13,1409.55,1327.92,1385.72
2021-01-31,1386.28,1391.57,1284.67,1296.0
2021-02-01,1298.4,1351.96,1273.29,1348.97
2021-02-02,1350.78,1539.88,1344.88,1516.43
2021-02-03,1521.01,1650.0,1511.43,1633.45
2021-02-04,1636.13,1696.88,1562.9,1642.51
2021-02-05,1642.38,1762.0,1591.69,1721.71
2021-02-06,1718.46,1743.59,1648.73,1710.88
2021-02-07,1712.0,1719.0,1502.2,1602.5
2021-02-08,1599.33,1774.62,1569.98,1702.98
2021-02-09,1700.03,1822.24,1700.03,1769.73
2021-02-10,1769.71,1837.84,1682.0,1727.99
2021-02-11,1728.0,1817.0,1706.91,1769.92
2021-02-12,1769.0,1861.74,1741.55,1851.59
2021-02-13,1852.75,1873.28,1765.9,1814.5
2021-02-14,1814.19,1851.8,1787.99,1828.54
2021-02-15,1828.65,1835.02,1672.69,1792.02
2021-02-16,1791.89,1825.11,1726.0,1753.24
2021-02-17,1753.0,1854.09,1733.98,1854.0
2021-02-18,1856.64,1949.72,1832.98,1944.68
2021-02-19,1944.92,1974.67,1891.99,1957.91
2021-02-20,1957.92,2035.95,1928.01,1968.81
2021-02-21,1963.56,1974.99,1836.83,1922.8
2021-02-22,1911.65,1939.7,870.0,1799.77
2021-02-23,1793.48,1802.44,1372.14,1539.99
2021-02-24,1536.41,1714.96,1504.28,1591.57
2021-02-25,1587.56,1669.99,1526.11,1526.11
2021-02-26,1520.0,1562.66,1403.0,1429.31
2021-02-27,1429.62,1526.9,1412.64,1507.11
2021-02-28,1506.45,1509.95,1297.64,1416.12
2021-03-01,1417.1,1563.99,1401.44,1547.0
2021-03-02,1547.0,1605.03,1457.48,1467.94
2021-03-03,1467.71,1655.19,1465.75,1595.02
2021-03-04,1592.11,1624.67,1505.69,1516.45
2021-03-05,1516.04,1548.0,1443.65,1535.09
2021-03-06,1535.3,1669.66,1514.25,1642.7
2021-03-07,1647.76,1693.7,1634.39,1664.0
2021-03-08,1664.0,1793.0,1663.27,1790.92
2021-03-09,1791.26,1857.47,1772.89,1825.0
2021-03-10,1825.01,1877.07,1759.34,1816.73
2021-03-11,1819.86,1842.34,1728.14,1840.5
2021-03-12,1842.0,1846.61,1723.95,1758.32
2021-03-13,1758.4,1942.37,1730.86,1911.71
2021-03-14,1912.12,1938.52,1840.0,1876.05
2021-03-15,1876.5,1893.09,1743.24,1791.32
2021-03-16,1792.84,1818.0,1712.6,1797.41
2021-03-17,1797.61,1839.1,1744.97,1817.47
2021-03-18,1816.89,1848.95,1759.83,1774.49
2021-03-19,1773.24,1839.98,1736.33,1817.85
2021-03-20,1814.56,1868.08,1803.41,1827.61
2021-03-21,1827.62,1837.75,1753.97,1800.0
2021-03-22,1800.06,1810.37,1678.35,1678.35
2021-03-23,1661.92,1720.84,1654.01,1672.34
2021-03-24,1669.76,1740.91,1584.09,1615.01
2021-03-25,1609.15,1620.81,1546.91,1603.41
2021-03-26,1604.02,1675.0,1580.08,1664.68
2021-03-27,1665.15,1718.52,1665.15,1718.5
2021-03-28,1718.51,1731.63,1661.91,1667.28
2021-03-29,1668.53,1840.51,1664.09,1806.4
2021-03-30,1808.81,1858.98,1787.2,1840.99
2021-03-31,1840.97,1940.0,1777.17,1940.0
2021-04-01,1940.25,1982.53,1899.37,1969.99
2021-04-02,1969.99,2105.81,1950.3,2092.13
2021-04-03,2091.0,2143.99,2006.37,2061.32
2021-04-04,2059.01,2091.55,1983.34,2061.67
2021-04-05,2061.67,2129.92,2004.69,2104.42
2021-04-06,2106.15,2149.55,2047.32,2122.45
2021-04-07,2121.69,2126.17,1937.28,1983.56
2021-04-08,1988.0,2077.13,1953.19,2054.91
2021-04-09,2055.02,2100.41,2045.0,2070.83
2021-04-10,2069.34,2194.68,2056.78,2090.86
2021-04-11,2087.48,2163.94,2082.37,2144.51
2021-04-12,2141.68,2199.62,2104.03,2145.92
2021-04-13,2146.5,2315.0,2137.08,2301.0
2021-04-14,2301.0,2399.07,2269.33,2369.54
2021-04-15,2369.99,2499.99,2369.99,2499.5
2021-04-16,2498.19,2548.39,2335.38,2460.83
2021-04-17,2460.84,2496.82,2318.08,2390.93
2021-04-18,2390.67,2396.05,1976.71,2226.09
2021-04-19,2229.05,2279.28,2084.37,2206.66
2021-04-20,2208.95,2330.5,2055.36,2307.28
2021-04-21,2309.4,2467.23,2237.91,2405.01
2021-04-22,2408.09,2643.3,2315.24,2408.0
2021-04-23,2400.0,2447.35,2117.03,2323.83
2021-04-24,2324.98,2370.26,2162.01,2295.99
2021-04-25,2298.15,2355.54,2166.72,2214.89
2021-04-26,2209.0,2531.25,2180.0,2463.0
2021-04-27,2458.3,2680.29,2431.6,2649.25
2021-04-28,2646.0,2748.0,2564.4,2708.01
2021-04-29,2711.17,2799.99,2675.41,2712.8
2021-04-30,2709.0,2799.0,2702.31,2763.92
2021-05-01,2763.92,2951.0,2743.26,2949.51
2021-05-02,2950.19,2976.97,2858.0,2969.0
2021-05-03,2969.0,3339.24,2936.4,3288.0
2021-05-04,3287.57,3492.19,3195.07,3409.65
2021-05-05,3405.35,3484.01,3215.17,3467.44
2021-05-06,3464.45,3607.59,3382.27,3467.85
2021-05-07,3468.09,3588.14,3366.78,3501.77
2021-05-08,3501.75,3863.54,3431.03,3852.0
2021-05-09,3854.53,3980.33,3734.16,3909.82
2021-05-10,3911.64,4209.43,3697.46,3899.32
2021-05-11,3885.92,4140.0,3781.66,4140.0
2021-05-12,4139.99,4372.35,3940.02,4104.21
2021-05-13,4101.41,4241.63,3527.0,3714.2
2021-05-14,3712.0,4175.68,3612.61,3990.47
2021-05-15,3983.66,4133.31,3663.23,3794.99
2021-05-16,3792.71,3878.01,3345.04,3360.34
2021-05-17,3373.74,3589.0,3126.42,3440.1
2021-05-18,3441.54,3564.21,3198.48,3434.23
2021-05-19,3431.0,3465.99,1889.42,2535.67
2021-05-20,2541.89,2993.64,2172.87,2761.8
2021-05-21,2767.6,2939.63,2248.68,2248.8
2021-05-22,2251.49,2482.37,2107.48,2356.38
2021-05-23,2356.9,2382.66,1737.28,2073.14
2021-05-24,2068.01,2679.0,2050.61,2623.97
2021-05-25,2632.46,2751.98,2387.51,2552.11
2021-05-26,2559.85,2910.0,2535.0,2791.65
2021-05-27,2799.9,2889.51,2641.47,2725.92
2021-05-28,2725.25,2789.64,2422.28,2424.99
2021-05-29,2429.76,2567.0,2209.61,2237.97
2021-05-30,2240.37,2477.15,2186.92,2437.73
2021-05-31,2433.04,2677.51,2278.03,2595.82
2021-06-01,2598.99,2737.96,2530.59,2577.58
2021-06-02,2574.14,2799.39,2557.7,2723.52
2021-06-03,2723.56,2887.0,2665.45,2819.99
2021-06-04,2823.63,2870.01,2557.17,2702.23
2021-06-05,2704.94,2814.62,2584.06,2627.47
2021-06-06,2630.54,2747.44,2553.42,2706.96
2021-06-07,2709.96,2846.38,2631.66,2651.31
2021-06-08,2650.89,2663.01,2314.17,2537.01
2021-06-09,2538.25,2626.27,2410.03,2563.27
2021-06-10,2562.22,2621.95,2430.76,2467.85
2021-06-11,2468.9,2490.9,2376.98,2383.54
2021-06-12,2383.54,2438.98,2267.1,2403.58
2021-06-13,2403.58,2562.82,2316.34,2562.82
2021-06-14,2577.09,2608.27,2520.78,2541.84
2021-06-15,2541.43,2639.23,2512.66,2522.43
2021-06-16,2523.24,2563.96,2382.43,2402.42
2021-06-17,2400.17,2457.61,2306.55,2343.23
2021-06-18,2340.25,2378.39,2143.41,2194.37
2021-06-19,2192.36,2277.06,2174.71,2225.64
2021-06-20,2225.64,2261.99,2047.02,2254.99
2021-06-21,2259.33,2275.73,1894.3,1941.23
2021-06-22,1938.77,1996.72,1701.1,1930.48
2021-06-23,1930.48,2043.01,1850.02,1931.56
2021-06-24,1932.09,2035.61,1887.33,2007.27
2021-06-25,2004.62,2019.97,1793.29,1867.87
2021-06-26,1863.45,1865.83,1717.33,1767.57
2021-06-27,1788.18,1892.12,1786.22,1816.34
2021-06-28,1816.49,2142.69,1814.74,2135.01
2021-06-29,2135.53,2242.02,2063.38,2191.26
2021-06-30,2191.61,2282.02,2089.16,2239.11
