Date,Open,High,Low,Close
2020-12-30,26870.0,28980.0,26870.0,28896.0
2020-12-31,28898.0,29298.0,27989.0,28966.0
2021-01-01,28965.0,29650.0,28754.0,29259.0
2021-01-02,29243.0,33219.0,29050.0,31690.0
2021-01-03,31714.0,34524.0,31494.0,33581.0
2021-01-04,33581.0,33649.0,28258.0,31027.0
2021-01-05,31029.0,34221.0,29991.0,33788.0
2021-01-06,33788.0,36452.0,33478.0,35848.0
2021-01-07,35934.0,40358.0,35806.0,39596.0
2021-01-08,39596.0,41958.0,36722.0,39927.0
2021-01-09,39927.0,41401.0,38775.0,40769.0
2021-01-10,40802.0,41423.0,35193.0,37984.0
2021-01-11,37984.0,38931.0,30323.0,34184.0
2021-01-12,34088.0,36612.0,32585.0,34766.0
2021-01-13,34736.0,37358.0,32466.0,37248.0
2021-01-14,37248.0,40030.0,36799.0,38863.0
2021-01-15,38757.0,39673.0,34446.0,36324.0
2021-01-16,36324.0,37938.0,35624.0,35785.0
2021-01-17,35935.0,36828.0,33928.0,36530.0
2021-01-18,36530.0,37433.0,34841.0,36255.0
2021-01-19,36252.0,37843.0,36170.0,36494.0
2021-01-20,36494.0,36788.0,33487.0,34892.0
2021-01-21,34919.0,35664.0,31048.0,31275.0
2021-01-22,31275.0,33842.0,28898.0,33375.0
2021-01-23,33375.0,33642.0,31471.0,32340.0
2021-01-24,32399.0,33069.0,31012.0,31934.0
2021-01-25,31934.0,34860.0,31731.0,32643.0
2021-01-26,32681.0,32812.0,30921.0,31993.0
2021-01-27,31993.0,32879.0,29288.0,31030.0
2021-01-28,30941.0,33286.0,29970.0,33274.0
2021-01-29,33274.0,38641.0,32002.0,34715.0
2021-01-30,34642.0,35344.0,32880.0,34649.0
2021-01-31,34649.0,34789.0,32237.0,32626.0
2021-02-01,32608.0,34698.0,32397.0,33667.0
2021-02-02,33667.0,35982.0,33470.0,35686.0
2021-02-03,35710.0,37450.0,35473.0,37284.0
2021-02-04,37284.0,38725.0,36281.0,37712.0
2021-02-05,37687.0,38325.0,36642.0,37853.0
2021-02-06,37853.0,40972.0,37714.0,40103.0
2021-02-07,40085.0,40481.0,37422.0,38610.0
2021-02-08,38610.0,44797.0,38085.0,44797.0
2021-02-09,44692.0,48219.0,44356.0,47357.0
2021-02-10,47357.0,47357.0,43783.0,45039.0
2021-02-11,45050.0,48593.0,44090.0,46943.0
2021-02-12,46943.0,48842.0,46438.0,47853.0
2021-02-13,47962.0,48143.0,46342.0,47210.0
2021-02-14,47210.0,49698.0,46954.0,48921.0
2021-02-15,48840.0,49277.0,45944.0,48183.0
2021-02-16,48183.0,50513.0,47186.0,48642.0
2021-02-17,48607.0,52619.0,48590.0,52333.0
2021-02-18,52333.0,52524.0,51023.0,52059.0
2021-02-19,52051.0,56211.0,50880.0,55493.0
2021-02-20,55493.0,57485.0,55101.0,56501.0
2021-02-21,56523.0,58315.0,54040.0,57332.0
2021-02-22,57332.0,57616.0,48034.0,54919.0
2021-02-23,54919.0,55032.0,45212.0,48016.0
2021-02-24,48084.0,51337.0,47039.0,48720.0
2021-02-25,48720.0,52054.0,48119.0,48199.0
2021-02-26,48199.0,48821.0,44246.0,45621.0
2021-02-27,45680.0,48321.0,45118.0,46844.0
2021-02-28,46844.0,46859.0,43197.0,45255.0
2021-03-01,45254.0,49412.0,44970.0,48844.0
2021-03-02,48844.0,50200.0,47144.0,47477.0
2021-03-03,47466.0,52564.0,47422.0,50952.0
2021-03-04,50952.0,51777.0,47555.0,47924.0
2021-03-05,47917.0,49442.0,46472.0,49138.0
2021-03-06,49138.0,49391.0,47147.0,48583.0
2021-03-07,48592.0,51343.0,48552.0,50104.0
2021-03-08,50104.0,51949.0,49368.0,51896.0
2021-03-09,51883.0,54818.0,51448.0,54313.0
2021-03-10,54313.0,57357.0,53235.0,56932.0
2021-03-11,56954.0,57918.0,54416.0,57721.0
2021-03-12,57721.0,58118.0,55160.0,56981.0
2021-03-13,56990.0,61732.0,56144.0,61002.0
2021-03-14,61002.0,61674.0,59348.0,60173.0
2021-03-15,60259.0,60738.0,55030.0,56398.0
2021-03-16,56398.0,56952.0,53311.0,56379.0
2021-03-17,56392.0,58197.0,54298.0,57834.0
2021-03-18,57706.0,60040.0,57145.0,57533.0
2021-03-19,57533.0,59436.0,56303.0,58426.0
2021-03-20,58404.0,59909.0,57890.0,58466.0
2021-03-21,58466.0,58792.0,55578.0,57792.0
2021-03-22,57788.0,58373.0,54316.0,54610.0
2021-03-23,54610.0,55816.0,53100.0,54346.0
2021-03-24,54445.0,57159.0,53294.0,54175.0
2021-03-25,54175.0,54175.0,50485.0,51989.0
2021-03-26,51989.0,54262.0,51309.0,54014.0
2021-03-27,54014.0,56254.0,53986.0,55916.0
2021-03-28,55909.0,56616.0,54740.0,54863.0
2021-03-29,54863.0,58335.0,54830.0,57176.0
2021-03-30,57250.0,59408.0,57078.0,58671.0
2021-03-31,58671.0,59831.0,57054.0,58932.0
2021-04-01,58932.0,59441.0,58021.0,58855.0
2021-04-02,58862.0,60118.0,58526.0,58655.0
2021-04-03,58655.0,59797.0,57848.0,58063.0
2021-04-04,58038.0,58463.0,56504.0,58030.0
